text,author,tags,page_no
"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”",,"<a class=""tag"" href=""/tag/activism/page/1/"">activism</a>,<a class=""tag"" href=""/tag/apathy/page/1/"">apathy</a>,<a class=""tag"" href=""/tag/hate/page/1/"">hate</a>,<a class=""tag"" href=""/tag/indifference/page/1/"">indifference</a>,<a class=""tag"" href=""/tag/inspirational/page/1/"">inspirational</a>,<a class=""tag"" href=""/tag/love/page/1/"">love</a>,<a class=""tag"" href=""/tag/opposite/page/1/"">opposite</a>,<a class=""tag"" href=""/tag/philosophy/page/1/"">philosophy</a>",2
"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”",,"<a class=""tag"" href=""/tag/friendship/page/1/"">friendship</a>,<a class=""tag"" href=""/tag/lack-of-friendship/page/1/"">lack-of-friendship</a>,<a class=""tag"" href=""/tag/lack-of-love/page/1/"">lack-of-love</a>,<a class=""tag"" href=""/tag/love/page/1/"">love</a>,<a class=""tag"" href=""/tag/marriage/page/1/"">marriage</a>,<a class=""tag"" href=""/tag/unhappy-marriage/page/1/"">unhappy-marriage</a>",2
"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",,"<a class=""tag"" href=""/tag/books/page/1/"">books</a>,<a class=""tag"" href=""/tag/contentment/page/1/"">contentment</a>,<a class=""tag"" href=""/tag/friends/page/1/"">friends</a>,<a class=""tag"" href=""/tag/friendship/page/1/"">friendship</a>,<a class=""tag"" href=""/tag/life/page/1/"">life</a>",2
“Life is what happens to us while we are making other plans.”,,"<a class=""tag"" href=""/tag/fate/page/1/"">fate</a>,<a class=""tag"" href=""/tag/life/page/1/"">life</a>,<a class=""tag"" href=""/tag/misattributed-john-lennon/page/1/"">misattributed-john-lennon</a>,<a class=""tag"" href=""/tag/planning/page/1/"">planning</a>,<a class=""tag"" href=""/tag/plans/page/1/"">plans</a>",2
text,author,tags,page_no
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,"<a class=""tag"" href=""/tag/change/page/1/"">change</a>,<a class=""tag"" href=""/tag/deep-thoughts/page/1/"">deep-thoughts</a>,<a class=""tag"" href=""/tag/thinking/page/1/"">thinking</a>,<a class=""tag"" href=""/tag/world/page/1/"">world</a>",1
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,"<a class=""tag"" href=""/tag/abilities/page/1/"">abilities</a>,<a class=""tag"" href=""/tag/choices/page/1/"">choices</a>",1
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,"<a class=""tag"" href=""/tag/inspirational/page/1/"">inspirational</a>,<a class=""tag"" href=""/tag/life/page/1/"">life</a>,<a class=""tag"" href=""/tag/live/page/1/"">live</a>,<a class=""tag"" href=""/tag/miracle/page/1/"">miracle</a>,<a class=""tag"" href=""/tag/miracles/page/1/"">miracles</a>",1
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,"<a class=""tag"" href=""/tag/aliteracy/page/1/"">aliteracy</a>,<a class=""tag"" href=""/tag/books/page/1/"">books</a>,<a class=""tag"" href=""/tag/classic/page/1/"">classic</a>,<a class=""tag"" href=""/tag/humor/page/1/"">humor</a>",1
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,"<a class=""tag"" href=""/tag/be-yourself/page/1/"">be-yourself</a>,<a class=""tag"" href=""/tag/inspirational/page/1/"">inspirational</a>",1
“Try not to become a man of success. Rather become a man of value.”,Albert Einstein,"<a class=""tag"" href=""/tag/adulthood/page/1/"">adulthood</a>,<a class=""tag"" href=""/tag/success/page/1/"">success</a>,<a class=""tag"" href=""/tag/value/page/1/"">value</a>",1
“It is better to be hated for what you are than to be loved for what you are not.”,André Gide,"<a class=""tag"" href=""/tag/life/page/1/"">life</a>,<a class=""tag"" href=""/tag/love/page/1/"">love</a>",1
"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison,"<a class=""tag"" href=""/tag/edison/page/1/"">edison</a>,<a class=""tag"" href=""/tag/failure/page/1/"">failure</a>,<a class=""tag"" href=""/tag/inspirational/page/1/"">inspirational</a>,<a class=""tag"" href=""/tag/paraphrased/page/1/"">paraphrased</a>",1
“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor Roosevelt,"<a class=""tag"" href=""/tag/misattributed-eleanor-roosevelt/page/1/"">misattributed-eleanor-roosevelt</a>",1
"“A day without sunshine is like, you know, night.”",Steve Martin,"<a class=""tag"" href=""/tag/humor/page/1/"">humor</a>,<a class=""tag"" href=""/tag/obvious/page/1/"">obvious</a>,<a class=""tag"" href=""/tag/simile/page/1/"">simile</a>",1
"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",Marilyn Monroe,"<a class=""tag"" href=""/tag/friends/page/1/"">friends</a>,<a class=""tag"" href=""/tag/heartbreak/page/1/"">heartbreak</a>,<a class=""tag"" href=""/tag/inspirational/page/1/"">inspirational</a>,<a class=""tag"" href=""/tag/life/page/1/"">life</a>,<a class=""tag"" href=""/tag/love/page/1/"">love</a>,<a class=""tag"" href=""/tag/sisters/page/1/"">sisters</a>",2
"“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”",J.K. Rowling,"<a class=""tag"" href=""/tag/courage/page/1/"">courage</a>,<a class=""tag"" href=""/tag/friends/page/1/"">friends</a>",2
"“If you can't explain it to a six year old, you don't understand it yourself.”",Albert Einstein,"<a class=""tag"" href=""/tag/simplicity/page/1/"">simplicity</a>,<a class=""tag"" href=""/tag/understand/page/1/"">understand</a>",2
"“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”",Bob Marley,"<a class=""tag"" href=""/tag/love/page/1/"">love</a>",2
"“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”",Dr. Seuss,"<a class=""tag"" href=""/tag/fantasy/page/1/"">fantasy</a>",2
"“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”",Douglas Adams,"<a class=""tag"" href=""/tag/life/page/1/"">life</a>,<a class=""tag"" href=""/tag/navigation/page/1/"">navigation</a>",2
"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”",Elie Wiesel,"<a class=""tag"" href=""/tag/activism/page/1/"">activism</a>,<a class=""tag"" href=""/tag/apathy/page/1/"">apathy</a>,<a class=""tag"" href=""/tag/hate/page/1/"">hate</a>,<a class=""tag"" href=""/tag/indifference/page/1/"">indifference</a>,<a class=""tag"" href=""/tag/inspirational/page/1/"">inspirational</a>,<a class=""tag"" href=""/tag/love/page/1/"">love</a>,<a class=""tag"" href=""/tag/opposite/page/1/"">opposite</a>,<a class=""tag"" href=""/tag/philosophy/page/1/"">philosophy</a>",2
"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”",Friedrich Nietzsche,"<a class=""tag"" href=""/tag/friendship/page/1/"">friendship</a>,<a class=""tag"" href=""/tag/lack-of-friendship/page/1/"">lack-of-friendship</a>,<a class=""tag"" href=""/tag/lack-of-love/page/1/"">lack-of-love</a>,<a class=""tag"" href=""/tag/love/page/1/"">love</a>,<a class=""tag"" href=""/tag/marriage/page/1/"">marriage</a>,<a class=""tag"" href=""/tag/unhappy-marriage/page/1/"">unhappy-marriage</a>",2
"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",Mark Twain,"<a class=""tag"" href=""/tag/books/page/1/"">books</a>,<a class=""tag"" href=""/tag/contentment/page/1/"">contentment</a>,<a class=""tag"" href=""/tag/friends/page/1/"">friends</a>,<a class=""tag"" href=""/tag/friendship/page/1/"">friendship</a>,<a class=""tag"" href=""/tag/life/page/1/"">life</a>",2
“Life is what happens to us while we are making other plans.”,Allen Saunders,"<a class=""tag"" href=""/tag/fate/page/1/"">fate</a>,<a class=""tag"" href=""/tag/life/page/1/"">life</a>,<a class=""tag"" href=""/tag/misattributed-john-lennon/page/1/"">misattributed-john-lennon</a>,<a class=""tag"" href=""/tag/planning/page/1/"">planning</a>,<a class=""tag"" href=""/tag/plans/page/1/"">plans</a>",2
